Transaction_ID,Timestamp,From_Account,To_Account,Amount,Channel,Sender_Age_Days,Receiver_Age_Days,Sender_Balance_Before,Sender_Balance_After,Layer_Depth,Pattern_Type,Is_Mule
TXN0001199,2024-01-01 07:49:44,ACC00182,ACC00428,6370.8,PromptPay,3328,2724,59447.28,53076.48,0,Normal,0
TXN0004008,2024-01-01 07:57:21,ACC00555,ACC00299,4789.33,PromptPay,338,959,17635.83,12846.5,0,Normal,0
TXN0003790,2024-01-01 08:20:47,ACC00523,ACC00404,10995.96,Mobile_App,2911,1897,20776.05,9780.09,0,Normal,0
TXN0005162,2024-01-01 10:21:11,ACC00712,ACC00318,1887.64,PromptPay,2996,3459,39232.56,37344.92,0,Normal,0
TXN0001821,2024-01-01 10:26:38,ACC00260,ACC00278,5987.37,PromptPay,2029,456,17101.03,11113.66,0,Normal,0
TXN0002230,2024-01-01 10:33:51,ACC00316,ACC00502,8178.68,Mobile_App,3162,488,51444.82,43266.14,0,Normal,0
TXN0002946,2024-01-01 10:54:30,ACC00411,ACC00708,8367.89,Branch,1016,1816,14666.48,6298.59,0,Normal,0
TXN0001227,2024-01-01 11:37:34,ACC00185,ACC00195,10188.36,ATM,636,3300,26494.28,16305.92,0,Normal,0
TXN0000340,2024-01-01 11:39:12,ACC00053,ACC00826,1696.3,Branch,1650,2961,16437.34,14741.04,0,Normal,0
TXN0001690,2024-01-01 11:57:03,ACC00244,ACC00141,6213.71,PromptPay,2664,3231,-19435.76,-25649.47,0,Normal,0
TXN0006326,2024-01-01 12:09:56,ACC00876,ACC00459,6971.49,Branch,344,730,47487.13,40515.64,0,Normal,0
TXN0001491,2024-01-01 13:15:30,ACC00219,ACC00113,685.34,Mobile_App,1666,2984,-3515.14,-4200.48,0,Normal,0
TXN0002797,2024-01-01 16:01:46,ACC00392,ACC00051,900.93,Mobile_App,458,1736,40603.55,39702.62,0,Normal,0
TXN0000727,2024-01-01 16:52:22,ACC00109,ACC00113,10355.79,Mobile_App,2801,2984,28481.9,18126.11,0,Normal,0
TXN0005201,2024-01-01 17:01:10,ACC00718,ACC00601,4164.02,Branch,1921,653,34651.76,30487.74,0,Normal,0
TXN0000312,2024-01-01 17:24:54,ACC00048,ACC00756,8767.5,PromptPay,1558,2791,8249.83,-517.67,0,Normal,0
TXN0001342,2024-01-01 19:01:14,ACC00200,ACC00438,4716.79,Mobile_App,1402,461,32966.58,28249.79,0,Normal,0
TXN0004725,2024-01-01 19:48:03,ACC00656,ACC00319,7463.69,Branch,1040,627,48531.56,41067.87,0,Normal,0
TXN0003099,2024-01-01 21:12:09,ACC00429,ACC00680,6144.22,Mobile_App,2486,2716,47131.28,40987.06,0,Normal,0
TXN0004204,2024-01-02 03:34:14,ACC00581,ACC00499,8242.5,ATM,3635,2477,17180.93,8938.43,0,Normal,0
TXN0003594,2024-01-02 05:00:37,ACC00497,ACC00252,10723.29,Branch,3070,3100,62000.03,51276.74,0,Normal,0
TXN0006221,2024-01-02 05:14:22,ACC00861,ACC00412,2812.2,Mobile_App,1906,2923,4138.86,1326.66,0,Normal,0
TXN0003953,2024-01-02 06:01:11,ACC00546,ACC00726,7043.94,Mobile_App,3190,2463,-51669.35,-58713.29,0,Normal,0
TXN0003817,2024-01-02 08:27:52,ACC00529,ACC00593,7930.07,Mobile_App,2722,1959,36258.47,28328.4,0,Normal,0
TXN0002772,2024-01-02 09:49:01,ACC00389,ACC00469,10048.32,PromptPay,941,1042,-15814.68,-25863.0,0,Normal,0
